DateTime,West Village A
2024-01-10 08:30:00,24.419
2024-01-10 09:00:00,26.633
2024-01-10 09:30:00,29.598
2024-01-10 10:00:00,30.013
2024-01-10 10:30:00,25.23
2024-01-10 11:00:00,18.067
2024-01-10 11:30:00,15.683
2024-01-10 12:00:00,22.419
2024-01-10 12:30:00,23.171
2024-01-10 13:00:00,19.631
2024-01-10 13:30:00,16.159
2024-01-10 14:00:00,16.31
2024-01-10 14:30:00,20.972
2024-01-10 15:00:00,22.554
2024-01-10 15:30:00,23.467
2024-01-10 16:00:00,21.997
2024-01-10 16:30:00,14.61
2024-01-10 17:00:00,19.165
2024-01-10 17:30:00,12.839
2024-01-10 18:00:00,10.255
2024-01-10 18:30:00,11.601
2024-01-10 19:00:00,17.352
2024-01-10 19:30:00,17.109
2024-01-10 20:00:00,17.667
2024-01-10 20:30:00,21.774
2024-01-10 21:00:00,21.819
2024-01-10 21:30:00,17.313
2024-01-10 22:00:00,10.361
2024-01-10 22:30:00,9.61
2024-01-10 23:00:00,7.999
2024-01-10 23:30:00,6.153
2024-01-11 00:00:00,5.24
2024-01-11 00:30:00,6.949
2024-01-11 01:00:00,6.458
2024-01-11 01:30:00,7.299
2024-01-11 02:00:00,10.377
2024-01-11 02:30:00,17.186
2024-01-11 03:00:00,12.817
2024-01-11 03:30:00,7.084
2024-01-11 04:00:00,5.598
2024-01-11 04:30:00,3.277
2024-01-11 05:00:00,1.393
2024-01-11 05:30:00,0.729
2024-01-11 06:00:00,0.365
2024-01-11 06:30:00,0.141
2024-01-11 07:00:00,1.915
2024-01-11 07:30:00,2.865
2024-01-11 08:00:00,6.799
2024-01-11 08:30:00,4.843
2024-01-11 09:00:00,1.093
2024-01-11 09:30:00,0
2024-01-11 10:00:00,0
2024-01-11 10:30:00,0
2024-01-11 11:00:00,0
2024-01-11 11:30:00,0
2024-01-11 12:00:00,0
2024-01-11 12:30:00,0
2024-01-11 13:00:00,0
2024-01-11 13:30:00,0
2024-01-11 14:00:00,0
2024-01-11 14:30:00,0.003
2024-01-11 15:00:00,0
2024-01-11 15:30:00,0
2024-01-11 16:00:00,0
2024-01-11 16:30:00,0
2024-01-11 17:00:00,0
2024-01-11 17:30:00,0.051
2024-01-11 18:00:00,3.063
2024-01-11 18:30:00,2.543
2024-01-11 19:00:00,2.819
2024-01-11 19:30:00,3.897
2024-01-11 20:00:00,7.685
2024-01-11 20:30:00,7.907
2024-01-11 21:00:00,7.482
2024-01-11 21:30:00,3.06
2024-01-11 22:00:00,0.018
2024-01-11 22:30:00,0
2024-01-11 23:00:00,0
2024-01-11 23:30:00,0
2024-01-12 00:00:00,0
2024-01-12 00:30:00,0
2024-01-12 01:00:00,0
2024-01-12 01:30:00,0
2024-01-12 02:00:00,0
2024-01-12 02:30:00,0
2024-01-12 03:00:00,0
2024-01-12 03:30:00,0
2024-01-12 04:00:00,0
2024-01-12 04:30:00,0
2024-01-12 05:00:00,0
2024-01-12 05:30:00,0
2024-01-12 06:00:00,0
2024-01-12 06:30:00,0
2024-01-12 07:00:00,0
2024-01-12 07:30:00,0
2024-01-12 08:00:00,0.159
2024-01-12 08:30:00,1.669
2024-01-12 09:00:00,3.095
2024-01-12 09:30:00,6.623
2024-01-12 10:00:00,7.141
2024-01-12 10:30:00,9.835
2024-01-12 11:00:00,9.975
