IR1_190627_x,IR1_190627_y,IR2_190627_x,IR2_190627_y
399.6918,0,399.6918,0
400.174,0.3770095,400.174,1.365003
400.6561,0.3349605,400.6561,0.9462829
401.1382,0.3104894,401.1382,0.7546051
401.6204,0.2946958,401.6204,0.6180549
402.1025,0.281866,402.1025,0.5068991
402.5846,0.2709572,402.5846,0.4202732
403.0668,0.264474,403.0668,0.3605966
403.5489,0.2652975,403.5489,0.3266428
404.031,0.2748684,404.031,0.3151994
404.5132,0.2927503,404.5132,0.3231576
404.9953,0.3155803,404.9953,0.3470774
405.4774,0.3354641,405.4774,0.3805961
405.9596,0.3420282,405.9596,0.4125524
406.4417,0.3320814,406.4417,0.4318031
406.9239,0.3149591,406.9239,0.4364515
407.406,0.3033094,407.406,0.4342383
407.8881,0.3039376,407.8881,0.4341567
408.3703,0.3173954,408.3703,0.4411377
408.8524,0.339786,408.8524,0.4553447
409.3345,0.3636709,409.3345,0.4726057
409.8167,0.3802795,409.8167,0.48646
410.2988,0.3846391,410.2988,0.4938318
410.7809,0.3788217,410.7809,0.4994033
411.2631,0.3690278,411.2631,0.5120987
411.7452,0.3603768,411.7452,0.5385498
412.2274,0.354271,412.2274,0.579936
412.7095,0.3481584,412.7095,0.6300392
413.1917,0.3368161,413.1917,0.6731470000000001
413.6738,0.3157835,413.6738,0.6887063
414.1559,0.2858492,414.1559,0.6684147
414.6381,0.2535648,414.6381,0.6255814
415.1202,0.2266681,415.1202,0.5809288
415.6023,0.2102525,415.6023,0.5481334
416.0845,0.2066168,416.0845,0.5326765999999999
416.5666,0.2164307,416.5666,0.5353652
417.0487,0.2384901,417.0487,0.5537131
417.5309,0.2670563,417.5309,0.580257
418.013,0.2897798,418.013,0.6030626
418.4951,0.2946962,418.4951,0.6170409
418.9773,0.2828452,418.9773,0.6326786
419.4594,0.2659301,419.4594,0.6624832
419.9416,0.2539944,419.9416,0.707687
420.4237,0.2510108,420.4237,0.7569297
420.9059,0.25662,420.9059,0.7893486
421.388,0.268238,421.388,0.7859634
421.8701,0.28285,421.8701,0.7473538
422.3523,0.2985173,422.3523,0.6933168
422.8344,0.3149854,422.8344,0.6446692000000001
423.3165,0.3329809,423.3165,0.6123397
423.7987,0.3529866,423.7987,0.5974891
424.2808,0.3742133,424.2808,0.5940577
424.7629,0.3944415,424.7629,0.5918034
425.2451,0.4110653,425.2451,0.581885
425.7272,0.4230648,425.7272,0.5628088999999999
426.2094,0.4319783,426.2094,0.5399945
426.6915,0.4407788,426.6915,0.5199786
427.1736,0.4516815,427.1736,0.5061279
427.6558,0.464549,427.6558,0.49792
428.1379,0.4763121,428.1379,0.4918001
428.62,0.4818238,428.62,0.4828377
429.1022,0.476492,429.1022,0.4673308
429.5843,0.4597028,429.5843,0.4454013
430.0664,0.4356737,430.0664,0.4210959
430.5486,0.4107554,430.5486,0.39965
431.0307,0.3900315,431.0307,0.3846115
431.5128,0.3757605,431.5128,0.3767521
431.995,0.367404,431.995,0.3744407
432.4771,0.3623911,432.4771,0.3746834
432.9593,0.3573312,432.9593,0.3745413
433.4414,0.3496548,433.4414,0.3725377
433.9236,0.3387649,433.9236,0.3692037
434.4057,0.325882,434.4057,0.36636
434.8878,0.312887,434.8878,0.3656939
435.37,0.3012654,435.37,0.3675605
435.8521,0.2916865,435.8521,0.370468
436.3342,0.2841345,436.3342,0.3716158
436.8164,0.2782947,436.8164,0.3685505
437.2985,0.2739715,437.2985,0.3609161
437.7806,0.2712386,437.7806,0.3505452
438.2628,0.2702752,438.2628,0.3398924
438.7449,0.271051,438.7449,0.3304728
439.2271,0.2731015,439.2271,0.3223487
439.7092,0.2754397,439.7092,0.3144377
440.1913,0.2766922,440.1913,0.3053287
440.6735,0.2754899,440.6735,0.294368
