"","country","crop_type","site","colony_code","total_production","queenCocoon_production","wt_change","wt_max","wt_1","wt_2","wt_3","cropland_prop","cropland_prop_centered","pesticideRisk","pesticideRisk_log_centered","MCR","uniqueCompound_count"
"1","CHE","OSR",1,"CHE_OSR_01_B1",1170,230,0.726733760156509,1423,688,1227,1423,0.4482,-0.495566715849722,66.9724770642202,0.321915051787414,1,1
"2","CHE","OSR",1,"CHE_OSR_01_B2",1349,143,0.735563501815013,1517,727,1315,1517,0.4482,-0.495566715849722,66.9724770642202,0.321915051787414,1,1
"3","CHE","OSR",1,"CHE_OSR_01_B3",1246,3,0.582836159742263,1209,675,1209,1144,0.4482,-0.495566715849722,66.9724770642202,0.321915051787414,1,1
"4","CHE","OSR",2,"CHE_OSR_02_B1",818,111,0.737013862665527,1398,669,1398,1392,0.4808,-0.344946698229218,73.7895505066897,0.349818639192078,1.00538262565365,6
"5","CHE","OSR",2,"CHE_OSR_02_B2",1211,267,0.714368136042831,1524,746,1524,1428,0.4808,-0.344946698229218,73.7895505066897,0.349818639192078,1.00538262565365,6
"6","CHE","OSR",2,"CHE_OSR_02_B3",1388,100,0.827119859983915,1619,708,1414,1619,0.4808,-0.344946698229218,73.7895505066897,0.349818639192078,1.00538262565365,6
"7","CHE","OSR",3,"CHE_OSR_03_B1",1325,363,0.858565585233546,1666,706,1466,1666,0.379,-0.815287734847848,86.3654138843431,0.395126488565488,1.27103816659977,8
"8","CHE","OSR",3,"CHE_OSR_03_B2",1556,305,0.861195015141446,1739,735,1527,1739,0.379,-0.815287734847848,86.3654138843431,0.395126488565488,1.27103816659977,8
"9","CHE","OSR",3,"CHE_OSR_03_B3",1017,121,0.736319352425154,1562,748,1412,1562,0.379,-0.815287734847848,86.3654138843431,0.395126488565488,1.27103816659977,8
"10","CHE","OSR",4,"CHE_OSR_04_B1",1447,2,0.582156186254833,1346,752,1346,1323,0.6162,0.280634601949194,105.815530079435,0.453615161228503,1.00294719814421,7
"11","CHE","OSR",4,"CHE_OSR_04_B2",1121,31,0.519135201571931,1289,767,1180,1289,0.6162,0.280634601949194,105.815530079435,0.453615161228503,1.00294719814421,7
"12","CHE","OSR",4,"CHE_OSR_04_B3",1077,163,0.759671524503568,1445,676,1283,1445,0.6162,0.280634601949194,105.815530079435,0.453615161228503,1.00294719814421,7
"13","CHE","OSR",5,"CHE_OSR_05_B1",1021,283,0.915665536480237,1599,640,1453,1599,0.5261,-0.135649557179867,235.043753980385,0.683524186097403,1.00077223374461,4
"14","CHE","OSR",5,"CHE_OSR_05_B2",1471,16,0.772268229182064,1446,668,1313,1446,0.5261,-0.135649557179867,235.043753980385,0.683524186097403,1.00077223374461,4
"15","CHE","OSR",5,"CHE_OSR_05_B3",1180,243,0.835923897603194,1661,720,1358,1661,0.5261,-0.135649557179867,235.043753980385,0.683524186097403,1.00077223374461,4
"16","CHE","OSR",6,"CHE_OSR_06_B1",715,56,0.374235804474382,993,683,971,993,0.467,-0.408706092191272,0,-1.55423160911155,0,0
"17","CHE","OSR",6,"CHE_OSR_06_B2",823,54,0.370270859986372,1005,694,1005,878,0.467,-0.408706092191272,0,-1.55423160911155,0,0
"18","CHE","OSR",6,"CHE_OSR_06_B3",1073,99,0.715029891809453,1386,678,1386,1356,0.467,-0.408706092191272,0,-1.55423160911155,0,0
"19","CHE","OSR",7,"CHE_OSR_07_B1",1873,25,0.839316972056191,1456,629,1275,1456,0.51,-0.210035516802264,0.127859498046255,-1.31682652308075,1.67495942440595,4
"20","CHE","OSR",7,"CHE_OSR_07_B2",819,232,0.677729916532618,1416,719,1155,1416,0.51,-0.210035516802264,0.127859498046255,-1.31682652308075,1.67495942440595,4
"21","CHE","OSR",7,"CHE_OSR_07_B3",1098,159,0.780684181740389,1384,634,1317,1384,0.51,-0.210035516802264,0.127859498046255,-1.31682652308075,1.67495942440595,4
"22","CHE","OSR",8,"CHE_OSR_08_B1",1432,147,0.743104807005302,1457,693,1457,1117,0.4339,-0.561636232781416,0.028,-1.48306993535944,1,1
"23","CHE","OSR",8,"CHE_OSR_08_B2",1401,47,0.693895403565297,1337,668,1127,1337,0.4339,-0.561636232781416,0.028,-1.48306993535944,1,1
"24","CHE","OSR",8,"CHE_OSR_08_B3",1287,34,0.498389058724982,1172,712,1162,1172,0.4339,-0.561636232781416,0.028,-1.48306993535944,1,1
"25","CHE","APP",9,"CHE_APP_09_B1",719,4,0.319925401729991,935,679,848,935,0.5121,-0.200333000329777,19592.95938345,1.9584534084568,1.04317462928949,9
"26","CHE","APP",9,"CHE_APP_09_B2",303,36,0,720,720,694,696,0.5121,-0.200333000329777,19592.95938345,1.9584534084568,1.04317462928949,9
"27","CHE","APP",9,"CHE_APP_09_B3",553,84,0.0496413116330012,764,727,758,764,0.5121,-0.200333000329777,19592.95938345,1.9584534084568,1.04317462928949,9
"28","CHE","APP",10,"CHE_APP_10_B1",701,148,0.587786664902119,1287,715,984,1287,0.4356,-0.553781814684641,3.40188044768262,-0.529186394157819,2.76575646153058,9
"29","CHE","APP",10,"CHE_APP_10_B2",852,84,0.54647190081747,1266,733,974,1266,0.4356,-0.553781814684641,3.40188044768262,-0.529186394157819,2.76575646153058,9
"30","CHE","APP",10,"CHE_APP_10_B3",1083,71,0.773082297722861,1549,715,1177,1549,0.4356,-0.553781814684641,3.40188044768262,-0.529186394157819,2.76575646153058,9
"31","CHE","APP",11,"CHE_APP_11_B1",912,14,0.567239713046082,1185,672,1118,1185,0.2439,-1.43948296124448,73.7124989060248,0.349517878918328,1.00433279759459,6
"32","CHE","APP",11,"CHE_APP_11_B2",698,99,0.477026389581574,1086,674,972,1086,0.2439,-1.43948296124448,73.7124989060248,0.349517878918328,1.00433279759459,6
"33","CHE","APP",11,"CHE_APP_11_B3",831,129,0.456538210928162,1195,757,1112,1195,0.2439,-1.43948296124448,73.7124989060248,0.349517878918328,1.00433279759459,6
"34","CHE","APP",13,"CHE_APP_13_B1",929,149,0.730887508542792,1485,715,1159,1485,0.4121,-0.662357594257704,363.072183549717,0.808828193738092,1.00189539258023,4
"35","CHE","APP",13,"CHE_APP_13_B2",697,81,0.548402299019563,1175,679,1027,1175,0.4121,-0.662357594257704,363.072183549717,0.808828193738092,1.00189539258023,4
